ORIGIN_AIRPORT,DESTINATION_AIRPORT
FWA,DTW
LAS,SEA
OAK,SEA
STL,DAL
IAH,HNL
HSV,ATL
IAH,TPA
SEA,PHX
JFK,LAX
14635,11292
MHT,BWI
MCO,SJU
LAS,SMF
TPA,BNA
DFW,CLT
DFW,CAE
BOS,MSP
MCO,DFW
MKE,DFW
PHL,SAN
HNL,OGG
BUR,OAK
SAN,SEA
14869,14107
EWR,DCA
MHT,TPA
AUS,DFW
IAD,BOS
IAH,HRL
IND,MCI
IAH,DFW
MLU,DFW
ATL,SNA
SYR,ORD
ORD,MIA
PHX,RNO
MYR,DTW
SLC,ATL
11298,12451
CLT,LAX
MIA,ATL
LAX,SFO
SAN,DFW
AUS,PHX
SEA,SFO
LGA,BNA
DFW,CLT
10713,11292
LAX,HNL
PHX,SAT
SAN,IAH
EWR,PHX
ICT,DFW
DFW,SLC
SJC,LAS
JFK,BOS
ELP,ATL
DFW,DCA
MDW,DEN
SJC,DFW
PHX,PIT
SFO,ACV
DEN,DRO
EWR,GSP
PHX,SAN
PAH,ORD
ORD,SFO
BUR,PHX
DFW,ORD
OKC,IAH
ORD,BOS
ATL,RSW
HNL,ITO
MKE,ORD
BMI,ATL
12892,12266
BUF,CLT
LAX,MCI
ORD,LSE
LBB,DFW
SLC,OKC
BWI,LAS
DTW,BWI
ORD,DAY
TPA,EWR
14747,10299
ORD,PHX
LGA,DEN
LAX,MSP
SLC,LAS
BOS,PHL
IND,HOU
14747,11298
TPA,DTW
DFW,MFE
MSY,ATL
CLE,ORD
EWR,FLL
TPA,DTW
LAS,MCI
PHX,BOS
LBB,DAL
IAH,MSY
ORD,IND
ABQ,SLC
IAH,IND
PHX,SLC
DEN,MSP
BHM,ATL
CLE,BOS
ATL,IND
MSP,BZN
LAX,ORD
OKC,DEN
DEN,SFO
SEA,PSP
OAK,LAX
DFW,ASE
IAH,MEM
VPS,DFW
DEN,SAN
MCI,ATL
MCI,DAL
MDW,MCI
PIT,IAH
CLT,RDU
SFO,SBA
STX,MIA
11433,15016
CLT,SEA
LWS,SLC
LAX,SJC
BOI,MSP
13232,11066
MIA,DFW
DFW,DEN
SFO,ORD
CLT,SJU
STL,DTW
LAX,JAC
CID,ORD
SFO,OGG
SJC,SNA
JFK,MCO
BOS,PHL
LAS,SEA
SEA,SAN
PHL,IAH
DTW,ROC
SEA,SJC
10821,11697
LGA,RDU
OAK,BOI
SAN,LAS
ATL,ORD
IAH,CLE
12173,13830
13232,10257
14893,14908
MDW,SDF
ATL,MEM
ATL,HOU
BNA,SAN
HOU,RDU
SFO,DFW
OGG,ORD
ATL,CLT
CLT,DFW
DTW,LAS
EWR,CLT
13232,12278
MDW,PHL
LEX,DFW
DFW,OKC
DEN,MKE
IAD,JFK
ORH,FLL
SLC,PHX
14771,12889
MKE,LAS
14100,10397
MEM,ORD
SFO,LAX
LAX,IAH
LAX,RDM
SAN,IAH
IAH,ORD
TPA,DTW
13930,13851
PIT,DFW
SCC,BRW
RNO,DEN
DSM,DEN
10599,11298
GSP,DFW
MFR,SLC
BWI,ALB
BWI,MEM
EVV,ORD
CLE,DEN
IAH,ATL
SNA,DEN
MCO,ATL
MIA,IAH
SJU,IAH
IAH,EWR
ONT,SLC
RSW,DTW
ORD,OMA
DFW,CRP
ICT,ATL
ORD,RIC
SEA,SAT
TUS,PHX
FNT,ORD
ATL,MIA
CLE,DFW
TPA,CLT
ORD,DCA
TPA,PHL
FLL,ORD
IAH,MIA
PHX,MSP
SLC,DFW
SLC,MSP
KOA,HNL
OKC,SLC
LAX,ATL
PHX,DFW
EWR,MSP
CMI,ORD
MCO,DCA
DAL,BWI
ATL,DHN
ORD,EWR
LGA,MCO
MCO,DCA
13495,11618
SJC,BUR
MIA,CVG
RDU,DFW
BOS,BWI
MCO,MDW
12892,14893
ATL,JAX
SLC,JFK
ORD,LAS
10397,13485
PDX,DTW
LAS,ABQ
MKE,LAS
IAH,PHX
TPA,LAS
EGE,EWR
AUS,LAS
MIA,JFK
PIA,ATL
MCO,MSY
LFT,ATL
HNL,ITO
12173,12402
HOU,DAL
IAH,GSP
ATL,MDW
MCO,CMH
14771,12264
LGA,DCA
11618,10721
SBA,SFO
LEX,ATL
MIA,DCA
OAK,SAN
ABI,DFW
BWI,PVD
10599,11433
SEA,KTN
GSP,IAH
DFW,IAH
LAS,SEA
DEN,BNA
12478,10154
RDU,LGA
DFW,SJC
DCA,ATL
ATL,BWI
PHL,DEN
MKE,DEN
PHL,MDW
13204,12264
AUS,IAH
GNV,ATL
ORD,MKE
DFW,HOU
LAX,PHX
DEN,SBA
ORD,PDX
MHT,DTW
SFO,PHX
CLE,LAS
DFW,LRD
ORD,SYR
BOS,PBI
LAX,JFK
BWI,RDU
LFT,ATL
SLC,OAK
PHL,RSW
TUL,DEN
JFK,BOS
BUF,FLL
BNA,TPA
MIA,SJU
MSP,CVG
ATL,PHL
SEA,DFW
CVG,ORD
